name,price,capacity,price_per_gb,type,cache,form_factor,interface
Samsung 990 Pro,149.99,2000,0.075,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3 Plus,56.95,1000,0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3 Plus,113.95,2000,0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro,299.99,4000,0.075,SSD,4096,M.2-2280,M.2 PCIe 4.0 X4
Kingston NV3,58,1000,0.058,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro,99.99,1000,0.1,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 EVO Plus,129.99,2000,0.065,SSD,,M.2-2280,M.2 PCIe 5.0 X2
Western Digital WD_Black SN850X,154.54,2000,0.077,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power UD90,92.97,2000,0.046,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 9100 PRO,429.99,4000,0.107,SSD,4096,M.2-2280,M.2 PCIe 5.0 X4
Samsung 990 EVO Plus,74.98,1000,0.075,SSD,,M.2-2280,M.2 PCIe 5.0 X2
Seagate Barracuda Compute,66.99,2000,0.033,7200,256,3.5,SATA 6.0 Gb/s
Klevv CRAS C910,57.99,1000,0.058,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN770,77.98,1000,0.078,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3 Plus,44.99,500,0.09,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN770,124.99,2000,0.062,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 870 Evo,92.9,1000,0.093,SSD,1024,2.5,SATA 6.0 Gb/s
Western Digital WD_Black SN850X,599.5,8000,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital WD_Black SN850X,268.35,4000,0.067,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 9100 PRO,229.99,2000,0.115,SSD,2048,M.2-2280,M.2 PCIe 5.0 X4
Kingston NV3,114.5,2000,0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3 Plus,211.45,4000,0.053,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital WD_Black SN850X,91.69,1000,0.092,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power UD90,51.99,1000,0.052,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue SN580,64.99,1000,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 EVO Plus,249.99,4000,0.062,SSD,,M.2-2280,M.2 PCIe 5.0 X2
Klevv CRAS C910,103.99,2000,0.052,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate IronWolf Pro,479.99,24000,0.02,7200,512,3.5,SATA 6.0 Gb/s
TEAMGROUP MP44L,57.99,1000,0.058,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Intel SSDPEDMD020T401,3937,2000,1.968,SSD,,PCIe,PCIe x4
SK Hynix Platinum P41,114.99,2000,0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate BarraCuda,74.99,4000,0.019,5400,256,3.5,SATA 6.0 Gb/s
Samsung 980 Pro,184.95,2000,0.092,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4
Samsung 970 Evo Plus,134,1000,0.134,SSD,1024,M.2-2280,M.2 PCIe 3.0 X4
Patriot P300,33.99,512,0.066,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Caviar Blue,42.99,1000,0.043,7200,64,3.5,SATA 6.0 Gb/s
Samsung 870 Evo,265,4000,0.066,SSD,4096,2.5,SATA 6.0 Gb/s
Crucial T500,124.99,2000,0.062,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP33,54.99,1000,0.055,SSD,,M.2-2280,M.2 PCIe 3.0 X4